#{"t_start": 1776083382.0690448, "env_id": "None"}
r,l,t
-30.689399,47,38.396847
27.15,47,38.454086
-5.923989,47,38.516827
-284.175979,47,38.577217
19.995152,47,38.640193
-13.41729,47,38.698724
-207.398153,47,38.760116
-7.144109,47,38.822277
8.903883,47,38.884284
30.5,47,38.94489
-372.534242,47,39.009294
55.25,47,39.070784
6.3,47,39.130405
-19.357075,47,39.18998
10.75,47,39.254575
9.872616,47,39.314751
26.2,47,39.374497
-60.050776,47,39.434271
-384.777648,47,39.496209
8.45,47,39.560572
-734.596147,47,39.623368
78.15,47,39.681973
-6.88645,47,39.744472
18.7,47,39.807932
34.4,47,39.86842
8.75,47,39.93151
14.25,47,40.001241
37.442464,47,40.063329
-92.293438,47,40.12618
-360.485029,47,40.1844
-145.004922,47,40.247051
42.95,47,40.307701
85.120554,47,40.371137
65.25,47,40.430477
-8.396246,47,40.493893
14.25,47,40.557315
-34.491926,47,40.616601
-117.732855,47,40.6764
6.086292,47,40.736441
31.7,47,40.800642
8.117912,47,40.862856
-11.6459,47,40.924516
11.1,47,40.995741
23.4,47,41.067489
-58.980735,47,41.141713
8.1,47,41.209763
0.664006,47,41.283736
13.05,47,41.35144
18.85,47,41.421981
17.8,47,41.488412
28.85,47,41.555098
56.3,47,41.62534
27.8,47,41.702318
56.95,47,41.766926
105.25,47,41.842558
45.45,47,41.909916
99.65,47,41.974307
39.465935,47,42.053053
29.1,47,42.127643
16.3,47,42.198605
50.95,47,42.272438
35.4,47,42.333724
33.536143,47,42.397219
46.05,47,42.463816
47.9,47,42.525473
42.75,47,42.583469
52.45,47,42.64727
25.017147,47,42.709806
21.773551,47,42.772779
-7.298824,47,42.832909
23.05,47,42.896068
63.9,47,42.973248
31.0,47,43.047952
70.8,47,43.119143
93.85,47,43.18343
52.354645,47,43.248771
105.2,47,43.311918
102.758449,47,43.371495
-183.688221,47,43.435792
-1503.621279,47,43.499908
53.189995,47,43.559422
88.65,47,43.617766
29.600909,47,43.681754
-44.478314,47,43.740947
27.85,47,43.803093
18.8,47,43.861087
33.05,47,43.927799
9.45,47,43.987542
21.2,47,44.050897
14.95,47,44.110597
14.8,47,44.174164
9.9,47,44.235693
20.25,47,44.299603
16.05,47,44.359275
13.35,47,44.425533
32.15,47,44.489044
13.25,47,44.550937
20.2,47,44.609776
29.85,47,44.676097
8.75,47,44.739381
9.75,47,44.803006
9.632205,47,44.860609
21.967228,47,44.926043
-3.47018,47,44.987117
9.65,47,45.05056
37.35,47,45.115274
38.0,47,45.181258
27.45,47,45.242816
42.0,47,45.308408
29.167438,47,45.378129
66.2,47,45.4503
40.6,47,45.521213
50.8,47,45.60153
51.6,47,45.670803
-463.886955,47,45.745795
24.5,47,45.816232
-523.758609,47,45.888724
-1105.297209,47,45.95111
99.95,47,46.018472
42.75,47,46.080255
49.2,47,46.146079
92.0,47,46.204682
-71.261146,47,46.267278
-34.149148,47,46.329996
4.383237,47,46.393057
13.25,47,46.453151
12.75,47,46.520123
22.089727,47,46.587867
26.4,47,46.659489
15.966333,47,46.727885
15.0,47,46.802348
44.25,47,46.875834
13.65,47,46.94898
10.1,47,47.02043
22.05,47,47.098722
16.411059,47,47.182902
36.5,47,47.263739
-157.287892,47,47.332693
40.25,47,47.409014
22.5,47,47.479634
27.404511,47,47.552201
8.4,47,47.621808
50.778416,47,47.695825
22.523848,47,47.767659
17.325953,47,47.857696
13.65,47,47.933891
14.15,47,48.013712
-144.836796,47,48.084701
84.75,47,48.150688
12.5,47,48.212968
36.05,47,48.276731
48.85,47,48.339291
-142.344525,47,48.405481
-23.761422,47,48.467234
36.064228,47,48.543105
11.2,47,48.620561
-292.231887,47,48.698722
-181.680172,47,48.764621
53.85,47,48.838718
46.95,47,48.911826
71.15,47,48.982391
11.5,47,49.048201
-90.983647,47,49.119816
-311.980921,47,49.190255
16.35,47,49.259803
34.15,47,49.325014
47.95,47,49.396371
13.65,47,49.467044
28.1,47,49.535627
16.908373,47,49.601597
-7.548705,47,49.671345
-8.756284,47,49.734217
30.3,47,49.797776
22.35,47,49.857648
6.775788,47,49.920911
13.4,47,49.982956
19.78367,47,50.043713
42.25,47,50.104184
56.8,47,50.170386
38.4,47,50.238483
66.4,47,50.30167
63.835514,47,50.363878
42.227555,47,50.428701
166.15,47,50.48963
79.5,47,50.557348
11.286663,47,50.614433
47.5,47,50.679185
-2.799729,47,50.741491
44.677812,47,50.805676
30.572634,47,50.868768
49.723473,47,50.935213
8.174771,47,50.998631
39.949244,47,51.06171
64.95,47,51.122644
56.55,47,51.188688
25.35,47,51.253341
49.610365,47,51.318167
66.219914,47,51.37934
70.75,47,51.448338
53.6,47,51.511916
67.25,47,51.573429
46.192794,47,51.634632
112.7,47,51.700504
109.85,47,51.762203
111.55,47,51.825971
16.61984,47,51.886691
-1286.754142,47,51.950988
68.839995,47,52.012702
95.8,47,52.074144
50.05,47,52.134566
-0.165362,47,52.199251
33.955069,47,52.263634
8.464592,47,52.326972
27.75,47,52.389624
23.55,47,52.455733
-25.289752,47,52.520512
15.15,47,52.583468
22.325586,47,52.645359
-81.818272,47,52.710979
22.95,47,52.778339
14.7,47,52.843272
-19.720961,47,52.903576
38.1,47,52.972582
-84.941374,47,53.037408
29.628812,47,53.101356
29.4,47,53.164584
13.65,47,53.233011
2.643161,47,53.3017
9.3,47,53.365649
37.95,47,53.42521
13.65,47,53.492829
-2.716828,47,53.556794
24.2,47,53.618579
38.9,47,53.678967
65.083581,47,53.741118
65.45,47,53.80579
27.35,47,53.869855
39.5,47,53.929475
44.1,47,53.995148
65.55,47,54.060437
65.7,47,54.123413
-399.531956,47,54.184135
32.55,47,54.250916
-1019.60984,47,54.315428
-1349.371663,47,54.378519
76.782597,47,54.439879
66.443046,47,54.507511
78.25,47,54.570071
64.442282,47,54.635332
-34.476863,47,54.696439
36.15,47,54.763849
-12.517308,47,54.827691
27.15,47,54.893577
31.65,47,54.955186
-8.194435,47,55.019797
26.955635,47,55.083967
32.806153,47,55.147576
-112.370057,47,55.206709
61.6,47,55.272284
18.75,47,55.337482
13.65,47,55.402908
1.06947,47,55.463837
20.8,47,55.534598
72.05,47,55.600328
-122.54079,47,55.66287
62.25,47,55.724486
-9.549161,47,55.790845
27.8,47,55.850466
1.808327,47,55.916497
24.662878,47,55.979316
48.95,47,56.046087
-6.627827,47,56.109638
15.0,47,56.17477
